type,type_area,X,eoo_km2,nat1990,nat2018,nat2022,prpnat1990,prpnat2018,prpnat2022,ard9022,nat40_9022,prplost9040_9022,ard1822,nat40_1822,prplost9040_1822,ard9018,nat40_9018,prplost9040_9018,rod9022,rod1822,rod9018,A3_24,A2b_24,B1ai_24,A3_18,A2b_18,B1ai_18
Pondoland Coastal Belt_Unchannelled valley-bottom,4839200,Pondoland Coastal Belt_Unchannelled valley-bottom,2092.69990566993,3806800,3657200,3647600,0.7866589518928748,0.7557447511985452,0.753760952223508,4975,3558050,0.0653435956709047,2400,3537200,0.07082063675528003,5342.857142857143,3539657.1428571427,0.070175175250304,0.1306871913418094,0.14164127351056005,0.140350350500608,LC,LC,LC,LC,LC,LC
Southern Fynbos_Depression,15005600,Southern Fynbos_Depression,26966.1231590802,14762000,14728800,14719200,0.983766060670683,0.9815535533400863,0.9809137921842512,1337.5,14695125,0.004530212708305108,2400,14608800,0.010377997561306055,1185.7142857142858,14702714.285714285,0.004016103121915361,0.0090604254166102155,0.02075599512261211,0.008032206243830721,LC,LC,LC,LC,LC,LC
Southern Fynbos_Floodplain,235901200,Southern Fynbos_Floodplain,62791.0091245047,140746800,119064000,117545200,0.59663452326652,0.5047197725149343,0.4982814839432779,725050,104494300,0.25757246345920476,379700,100079000,0.2889429812969105,774385.7142857143,102027514.28571428,0.2750988705553925,0.5151449269184095,0.577885962593821,0.550197741110785,VU,LC,LC,LC,LC,LC
Southern Fynbos_Seep,111568000,Southern Fynbos_Seep,68268.8445284887,80792400,73550400,72926000,0.72415387924853,0.6592427936325829,0.6536462067976481,245825,68501150,0.15213374030230567,156100,65745400,0.18624276540862755,258642.85714285713,67860257.14285715,0.16006632872823248,0.30426748060461134,0.3724855308172551,0.32013265745646496,LC,LC,LC,LC,LC,LC
Southern Fynbos_Unchannelled valley-bottom,23747600,Southern Fynbos_Unchannelled valley-bottom,49431.6923027938,16704800,14386400,14266000,0.7034310835621284,0.6058043760211558,0.600734390001516,76212.5,12894175,0.22811557157224271,30100,12881400,0.22888032182366744,82800,12564800,0.2478329581916575,0.45623114314448543,0.4577606436473348,0.495665916383315,LC,LC,VU,LC,LC,VU
Southwest Fynbos_Depression,7000000,Southwest Fynbos_Depression,3560.17910454607,6738400,6516000,6501200,0.9626285714285714,0.9308571428571428,0.9287428571428571,7412.5,6367775,0.055001929241362935,3700,6331000,0.06045945625074202,7942.857142857143,6341257.142857143,0.05893726361493192,0.11000385848272587,0.12091891250148404,0.11787452722986384,LC,LC,LC,LC,LC,LC
Southwest Fynbos_Floodplain,354359600,Southwest Fynbos_Floodplain,28886.161353926,242231200,209919600,207182400,0.6835745384067484,0.5923914577169632,0.584667100877188,1095275,187467450,0.226080496649482,684300,175704600,0.27464092156584285,1153985.7142857143,184531914.28571427,0.2381992316195673,0.452160993298964,0.5492818431316857,0.47639846323913454,LC,LC,VU,LC,LC,VU
Southwest Fynbos_Seep,203046400,Southwest Fynbos_Seep,29174.4190951894,150540400,143367600,142150000,0.741408860240812,0.706082944588035,0.7000862856962744,262200,137430400,0.08708625724390263,304400,128147600,0.14874943868888352,256171.42857142858,137731828.57142857,0.08508394709042512,0.17417251448780527,0.29749887737776703,0.17016789418085024,LC,LC,LC,LC,LC,LC
Southwest Fynbos_Unchannelled valley-bottom,13875200,Southwest Fynbos_Unchannelled valley-bottom,16255.5640640855,10197600,9446400,9355200,0.7349515682656826,0.6808118081180812,0.6742389298892989,26325,8881350,0.12907448811485056,22800,8306400,0.18545540127088728,26828.571428571428,8856171.42857143,0.13154355646706783,0.2581489762297011,0.37091080254177455,0.26308711293413567,LC,LC,EN,LC,LC,LC
Sub-Escarpment Grassland_Depression,46076800,Sub-Escarpment Grassland_Depression,157367.152334474,33258800,30212400,30051200,0.7218122786304605,0.6556965761511216,0.6521980693103687,100237.5,28246925,0.15069319999518924,40300,28197400,0.15218227957713448,108800,27818800,0.16356573297894092,0.3013863999903785,0.30436455915426897,0.32713146595788184,LC,LC,LC,LC,LC,LC
